experiment,region,context_mode,context_size,model,base_url,requests,ttft_p50_s,ttft_p95_s,ttft_mean_s,total_p50_s,total_p95_s,total_mean_s,completion_tokens_mean,request_bytes_mean
dense_scale_qwen3_vl_4b_local,local,full_history,1,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.021082072053104,0.021082072053104,0.021082072053104,0.060819274745881,0.060819274745881,0.060819274745881,8.0,230080.0
dense_scale_qwen3_vl_4b_local,local,full_history,2,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.22305853199213702,0.22305853199213702,0.22305853199213702,0.264553172048181,0.264553172048181,0.264553172048181,9.0,457341.0
dense_scale_qwen3_vl_4b_local,local,full_history,3,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.247636229265481,0.247636229265481,0.247636229265481,0.28941461816430003,0.28941461816430003,0.28941461816430003,9.0,682292.0
dense_scale_qwen3_vl_4b_local,local,full_history,4,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.24095570296049101,0.24095570296049101,0.24095570296049101,0.28451862884685303,0.28451862884685303,0.28451862884685303,9.0,919334.0
dense_scale_qwen3_vl_4b_local,local,full_history,5,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.245243181008845,0.245243181008845,0.245243181008845,0.28993812110275,0.28993812110275,0.28993812110275,9.0,1137989.0
dense_scale_qwen3_vl_4b_local,local,full_history,6,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.255317906849086,0.255317906849086,0.255317906849086,0.29926935955882,0.29926935955882,0.29926935955882,9.0,1366721.0
dense_scale_qwen3_vl_4b_local,local,full_history,7,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.266842441167682,0.266842441167682,0.266842441167682,0.31273289304226604,0.31273289304226604,0.31273289304226604,10.0,1600010.0
dense_scale_qwen3_vl_4b_local,local,full_history,8,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.279045850038528,0.279045850038528,0.279045850038528,0.325916429050266,0.325916429050266,0.325916429050266,10.0,1809700.0
dense_scale_qwen3_vl_4b_local,local,full_history,9,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.283075636718422,0.283075636718422,0.283075636718422,0.33039919706061405,0.33039919706061405,0.33039919706061405,10.0,2035544.0
dense_scale_qwen3_vl_4b_local,local,full_history,10,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.29359179968014304,0.29359179968014304,0.29359179968014304,0.34184517199173503,0.34184517199173503,0.34184517199173503,10.0,2220128.0
dense_scale_qwen3_vl_4b_local,local,full_history,11,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.30630464013665903,0.30630464013665903,0.30630464013665903,0.35487359482795,0.35487359482795,0.35487359482795,10.0,2381255.0
dense_scale_qwen3_vl_4b_local,local,full_history,12,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.309786822181195,0.309786822181195,0.309786822181195,0.35995242511853504,0.35995242511853504,0.35995242511853504,10.0,2544582.0
dense_scale_qwen3_vl_4b_local,local,full_history,13,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.316666082013398,0.316666082013398,0.316666082013398,0.36738274525851,0.36738274525851,0.36738274525851,10.0,2707529.0
dense_scale_qwen3_vl_4b_local,local,full_history,14,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.330784519203007,0.330784519203007,0.330784519203007,0.38135772710666005,0.38135772710666005,0.38135772710666005,10.0,2868758.0
dense_scale_qwen3_vl_4b_local,local,full_history,15,Qwen/Qwen3-VL-4B-Instruct,http://localhost:8000/v1,1,0.334256503731012,0.334256503731012,0.334256503731012,0.385940783657133,0.385940783657133,0.385940783657133,10.0,3029661.0
